brand,Model,Price,Color,Strings,Url
Ibanez,GSRM20 Mikro Short-Scale Bass Guitar  Starlight Blue,$179.99,Blue,4,https://www.guitarcenter.com/Ibanez/GSRM20-Mikro-Short-Scale-Bass-Guitar-Starlight-Blue-1290447863927.gc
Ibanez,Ibanez GSR200 4-String Electric Bass,$199.99,Red,4,https://www.guitarcenter.com/Ibanez/GSR200-4-String-Electric-Bass-Transparent-Red-1275425410355.gc
Ibanez,TMB30 Bass Mint Green,$189.99,Green,,https://www.guitarcenter.com/Ibanez/TMB30-Bass-Mint-Green-1500000228755.gc
Ibanez,Ibanez SR300E 4-String Electric Bass  Cerulean Aura Burst,$349.99,Blue,4,https://www.guitarcenter.com/Ibanez/SR300E-4-String-Electric-Bass-Cerulean-Aura-Burst-1500000306561.gc
Ibanez,Ibanez SR305E 5-String Electric Bass  Pearl White,$399.99,White,5,https://www.guitarcenter.com/Ibanez/SR305E-5-String-Electric-Bass-Pearl-White-1500000002271.gc
Ibanez,Ibanez SR2605 Premium 5-String Bass Cerulean Blue Burst,"$1,699.99",Blue,5,https://www.guitarcenter.com/Ibanez/SR2605-Premium-5-String-Bass-Cerulean-Blue-Burst-1500000263453.gc
Ibanez,Ibanez SR2400 Quilted Maple Top Bass  Amethyst Purple Low Gloss,"$1,499.99",Purple,4,https://www.guitarcenter.com/Ibanez/SR2400-Quilted-Maple-Top-Bass-Amethyst-Purple-Low-Gloss-1500000256030.gc
Ibanez,Ibanez SR870 4-String Electric Bass Autumn Leaf Gradation,$849.99,Red,4,https://www.guitarcenter.com/Ibanez/SR870-4-String-Electric-Bass-Autumn-Leaf-Gradation-1500000177843.gc?pfm=category_page.rr1%7CPersonalizedClickCPInCategory
Music Man,Ernie Ball Music Man StingRay Special HH Ebony Fingerboard Electric Bass  Cruz Teal,"$2,249.00",Teal,4,https://www.guitarcenter.com/Ernie-Ball-Music-Man/StingRay-Special-HH-Ebony-Fingerboard-Electric-Bass-Cruz-Teal-1500000221708.gc
Music Man,Ernie Ball Music Man Bongo 5 HH with Roasted Maple Neck 5-String Electric Bass Barolo,"$2,699.00",Purple,5,https://www.guitarcenter.com/Ernie-Ball-Music-Man/Bongo-5-HH-with-Roasted-Maple-Neck-5-String-Electric-Bass-Barolo-1500000029753.gc
Music Man,Ernie Ball Music Man StingRay5 Special HH Rosewood Fingerboard Electric Bass  HD Yellow,"$2,349.00",Yellow,5,https://www.guitarcenter.com/Ernie-Ball-Music-Man/StingRay5-Special-HH-Rosewood-Fingerboard-Electric-Bass-HD-Yellow-1500000222080.gc
Music Man,Ernie Ball Music Man Bongo 4 HH Bass  Aqua Sparkle,"$2,499.00",Blue,4,https://www.guitarcenter.com/Ernie-Ball-Music-Man/Bongo-4-HH-Bass-Aqua-Sparkle-1500000275603.gc
Fender,Fender Player Jazz Bass Maple Fingerboard  Buttercream,$699.99,Yellow,4,https://www.guitarcenter.com/Fender/Player-Jazz-Bass-Maple-Fingerboard-Buttercream-1500000219929.gc
Fender,Fender American Performer Precision Bass Rosewood Fingerboard  3-Color Sunburst,"$1,249.99",Sunburst,4,https://www.guitarcenter.com/Fender/American-Performer-Precision-Bass-Rosewood-Fingerboard-3-Color-Sunburst-1500000254117.gc
Fender,Fender American Ultra Jazz Bass V 5-String Maple Fingerboard  Arctic Pearl,"$2,099.99",White,5,https://www.guitarcenter.com/Fender/American-Ultra-Jazz-Bass-V-5-String-Maple-Fingerboard-Arctic-Pearl-1500000281471.gc
Fender,Fender Aerodyne 4-String Jazz Bass Black Rosewood Fretboard,$824.99,Black,4,https://www.guitarcenter.com/Fender/Aerodyne-4-String-Jazz-Bass-Black-Rosewood-Fretboard-1273888002147.gc
Fender,Fender Mustang Bass Ebony Fingerboard Limited-Edition Black,$749.99,Black,4,https://www.guitarcenter.com/Fender/Mustang-Bass-Ebony-Fingerboard-Limited-Edition-Black-1500000272911.gc
Warwick,Warwick Custom Shop Corvette $$ Electric Bass Chrome Silver,"$8,499.99",Brown,4,https://www.guitarcenter.com/Warwick/Custom-Shop-Corvette-Electric-Bass-Chrome-Silver-1500000235469.gc
Warwick,Warwick German Pro Series Corvette $$ 4-String Electric Bass Guitar  Natural Satin,"$2,099.99",Brown,4,https://www.guitarcenter.com/Warwick/German-Pro-Series-Corvette-4-String-Electric-Bass-Guitar-Natural-Satin-1500000072278.gc
Warwick,Warwick Custom Shop Streamer Stage II 5-String Electric Bass Neon Green,"$6,999.99",Green,4,https://www.guitarcenter.com/Warwick/Custom-Shop-Streamer-Stage-II-5-String-Electric-Bass-Neon-Green-1500000262391.gc
Warwick,Warwick Rockbass Streamer Standard 5-String Electric Bass Guitar Honey Violin,$679.99,Yellow,5,https://www.guitarcenter.com/Warwick/Rockbass-Streamer-Standard-5-String-Electric-Bass-Guitar-Honey-Violin-1500000045222.gc
Spector,Spector Euro4 LX 4-String Electric Bass  Black Cherry,"$2,499.99",Red,4,https://www.guitarcenter.com/Spector/Euro4-LX-4-String-Electric-Bass-Black-Cherry-1500000052690.gc
Spector,Spector Euro5LX Limited Edition 5-String Electric Bass Gloss Natural,"$2,799.99",Brown,5,https://www.guitarcenter.com/Spector/Euro5LX-Limited-Edition-5-String-Electric-Bass-Gloss-Natural-1500000214075.gc
Spector,Spector SpectorCore 4 Lined Fretless Electric Bass Walnut Stain,"$1,199.99",Red,4,https://www.guitarcenter.com/Spector/SpectorCore-4-Lined-Fretless-Electric-Bass-Walnut-Stain-1500000240853.gc
Spector,Spector USA NS-4 Black and Blue Gloss Bass Guitar Black and Blue Clear Gloss,"$5,898.99",Blue,4,https://www.guitarcenter.com/Spector/USA-NS-4-Black-and-Blue-Gloss-Bass-Guitar-Black-and-Blue-Clear-Gloss-1274115044907.gc
Epiphone,Epiphone Thunderbird Classic-IV PRO Electric Bass Guitar  Vintage Sunburst,$549.00,Sunburst,4,https://www.guitarcenter.com/Epiphone/Thunderbird-Classic-IV-PRO-Electric-Bass-Guitar-Vintage-Sunburst-1331921974977.gc
Epiphone,Epiphone Embassy PRO Bass Ebony,$399.00,Black,4,https://www.guitarcenter.com/Epiphone/Embassy-PRO-Bass-Ebony-1500000255670.gc
G&L,G&L SB-1 Electric Bass Guitar Yellow Fever,"$1,499.99",Yellow,4,https://www.guitarcenter.com/GL/SB-1-Electric-Bass-Guitar-Yellow-Fever-1386605596539.gc
G&L,G&L L-2000 Electric Bass Guitar Royal Purple Metallic,"$1,699.99",Purple,4,https://www.guitarcenter.com/GL/L-2000-Electric-Bass-Guitar-Royal-Purple-Metallic-1386605596564.gc